review_id,review_text
1,"Great product and fast delivery."
2,"Very satisfied with the quality."
3,"Poor packaging but good value."
4,"The item arrived broken and Iâ€™m very disappointed."
5,"Excellent quality and amazing support team."
6,"Not worth the price. Would not buy again."
7,"Quick delivery but the product did not match the description."
8,"Absolutely love it! Highly recommended."
9,"Terrible experience. Customer service was unhelpful."
10,"Decent purchase for the price, but could be better."